Wall time,Step,Value
1618125943.745894,5751,80.97859191894531
1618125950.493411,5752,254.9765625
1618125955.4069703,5753,-10.977862358093262
1618125962.3093219,5754,262.60809326171875
1618125977.0502248,5755,85.19086456298828
1618125983.0215716,5756,256.66998291015625
1618125991.4201384,5757,271.0531311035156
1618125997.3544252,5758,256.9346923828125
1618126002.9984455,5759,237.5701446533203
1618126018.8075104,5761,253.78433227539062
1618126026.3640442,5762,292.6927490234375
1618126034.6128829,5763,281.6549377441406
1618126049.3894389,5764,98.1805648803711
1618126064.256101,5765,206.1165771484375
1618126071.6292422,5766,11.801643371582031
1618126086.503237,5767,96.05950927734375
1618126101.493491,5768,80.06312561035156
1618126107.1047225,5769,236.6118927001953
1618126113.9621518,5770,250.45713806152344
1618126121.203158,5771,267.15625
1618126130.5821505,5772,275.7507629394531
1618126139.9426851,5773,264.6606140136719
1618126147.5584311,5774,291.6116027832031
1618126154.6621377,5775,282.9947509765625
1618126162.2613924,5776,249.48663330078125
1618126168.1494431,5777,296.91656494140625
1618126174.3494627,5778,280.6444396972656
1618126185.5209212,5779,240.40170288085938
1618126191.754926,5780,251.05555725097656
1618126198.4492033,5781,257.5367431640625
1618126204.6862879,5782,230.8054656982422
1618126211.7849283,5783,275.1292419433594
1618126218.924674,5784,292.1305236816406
1618126225.5492127,5785,277.7133483886719
1618126232.857085,5786,263.3006896972656
1618126242.9876733,5787,272.2738037109375
1618126255.941571,5788,281.8765869140625
1618126270.7690074,5789,224.27809143066406
1618126276.8391619,5790,275.7742919921875
1618126284.4526687,5791,303.4456481933594
1618126290.747361,5792,279.2895812988281
1618126300.195178,5793,242.905029296875
1618126306.2415175,5794,248.77938842773438
1618126312.4036033,5795,285.37896728515625
1618126321.89135,5796,254.01763916015625
1618126329.3570468,5797,312.5549621582031
1618126339.8141851,5798,293.57086181640625
1618126355.208413,5800,249.2714080810547
1618126361.1033497,5801,270.4717712402344
1618126367.3729558,5802,300.6810302734375
1618126373.8196876,5803,268.20526123046875
1618126380.9144504,5804,285.3215637207031
1618126387.406808,5805,279.41595458984375
1618126396.9570138,5806,279.8226318359375
1618126400.3906887,5807,-19.41405487060547
1618126412.7900856,5809,289.0906066894531
1618126418.0265057,5810,273.5023193359375
1618126424.7911587,5811,241.97886657714844
1618126431.9000723,5812,267.3623962402344
1618126438.4588509,5813,276.20281982421875
